acutilar golpear
adelgacar desbastar
cerviz nuca
chapada planalto
comportamento conduta
compromisso obrigacao
concernente referente
conserto reparo
crista cimo
desalento desanimo
desatino disparate
discriminar distinguir
espadana labareda
frontispicio fachada
funereo funebre
futrica fuxico
gaudio jubilo
gola colarinho
Gustavo demoLindo
insanidade demencia
insigne celebre
insistir perseverar
insolencia desaforo
inspecao exame
Lara gostosa
manhoso jeitoso
nescio estupido
nitrir relinchar
ornar enfeitar
pileque bebedeira
piparote peteleco
preferencia predilecao
proficuo proveitoso
referente concernente
relinchar nitrir
veado cervo
